conditions,class,confidence
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'small'}",NE,0.476710594
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'small'}",SU,0.523289406
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",NE,0.358796752
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",SU,0.14169304
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",FE,0.085602734
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",AN,0.080021815
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",SA,0.090914443
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",HA,0.242971217
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",NE,0.289300559
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",SU,0.233051116
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",AN,0.23133874
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",SA,0.038729867
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",HA,0.207579718
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'medium', 'Mouth Corner to Eye Distance': 'medium'}",SA,0.087377766
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'medium', 'Mouth Corner to Eye Distance': 'medium'}",HA,0.912622234
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'small'}",NE,0.17639528
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'small'}",SU,0.751088455
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'small'}",SA,0.072516265
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",NE,0.518848744
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",SU,0.380541369
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",SA,0.080622143
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",HA,0.019987744
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'high'}",NE,0.823095318
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'small', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'high'}",HA,0.176904682
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'small'}",NE,0.409248639
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'small'}",SU,0.590751361
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",NE,0.366458912
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",SU,0.148918639
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",FE,0.09249631
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",AN,0.101018501
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",SA,0.081862472
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'medium'}",HA,0.209245167
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",NE,0.256307685
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",SU,0.221712181
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",AN,0.287654565
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",SA,0.036845493
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'high'}",HA,0.197480076
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'medium', 'Mouth Corner to Eye Distance': 'medium'}",HA,1
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'small'}",NE,0.146313681
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'small'}",SU,0.771155265
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'small'}",SA,0.082531054
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",NE,0.523813869
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",SU,0.371798732
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",SA,0.083304623
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'medium'}",HA,0.021082776
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'high'}",NE,0.811202596
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'medium', 'Mouth Openness': 'high', 'Mouth Corner to Eye Distance': 'high'}",HA,0.188797404
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'high', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'small'}",NE,0.076612902
"{'Eye Openness': 'small', 'Eyebrow Width': 'small', 'Eyebrow to Eye Distance': 'high', 'Mouth Openness': 'small', 'Mouth Corner to Eye Distance': 'small'}",SU,0.100156677
